"Date","AQS_SITE_ID","POC","Daily Max 1-hour NO2 Concentration","UNITS","DAILY_AQI_VALUE","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2012","060290007","1","33","ppb","31","23","96.0000","42602","Nitrogen dioxide (NO2)","12540","Bakersfield, CA","06","California","029","Kern","35.3460940221646","-118.852037412835"
"01/02/2012","060290007","1","33","ppb","31","23","96.0000","42602","Nitrogen dioxide (NO2)","12540","Bakersfield, CA","06","California","029","Kern","35.3460940221646","-118.852037412835"
"01/03/2012","060290007","1","17","ppb","16","23","96.0000","42602","Nitrogen dioxide (NO2)","12540","Bakersfield, CA","06","California","029","Kern","35.3460940221646","-118.852037412835"
"01/04/2012","060290007","1","30","ppb","28","23","96.0000","42602","Nitrogen dioxide (NO2)","12540","Bakersfield, CA","06","California","029","Kern","35.3460940221646","-118.852037412835"
"01/05/2012","060290007","1","26","ppb","25","23","96.0000","42602","Nitrogen dioxide (NO2)","12540","Bakersfield, CA","06","California","029","Kern","35.3460940221646","-118.852037412835"
"01/06/2012","060290007","1","24","ppb","23","23","96.0000","42602","Nitrogen dioxide (NO2)","12540","Bakersfield, CA","06","California","029","Kern","35.3460940221646","-118.852037412835"
"01/07/2012","060290007","1","28","ppb","26","23","96.0000","42602","Nitrogen dioxide (NO2)","12540","Bakersfield, CA","06","California","029","Kern","35.3460940221646","-118.852037412835"
"01/08/2012","060290007","1","18","ppb","17","23","96.0000","42602","Nitrogen dioxide (NO2)","12540","Bakersfield, CA","06","California","029","Kern","35.3460940221646","-118.852037412835"
"01/09/2012","060290007","1","31","ppb","29","23","96.0000","42602","Nitrogen dioxide (NO2)","12540","Bakersfield, CA","06","California","029","Kern","35.3460940221646","-118.852037412835"
"01/10/2012","060290007","1","31","ppb","29","23","96.0000","42602","Nitrogen dioxide (NO2)","12540","Bakersfield, CA","06","California","029","Kern","35.3460940221646","-118.852037412835"
"01/12/2012","060290007","1","34","ppb","32","20","83.0000","42602","Nitrogen dioxide (NO2)","12540","Bakersfield, CA","06","California","029","Kern","35.3460940221646","-118.852037412835"
