"Date","AQS_SITE_ID","POC","Daily Max 1-hour NO2 Concentration","UNITS","DAILY_AQI_VALUE","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2012","060850005","1","33","ppb","31","22","92.0000","42602","Nitrogen dioxide (NO2)","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","085","Santa Clara","37.348497","-121.894898"
"01/02/2012","060850005","1","37.4","ppb","35","22","92.0000","42602","Nitrogen dioxide (NO2)","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","085","Santa Clara","37.348497","-121.894898"
"01/03/2012","060850005","1","35.4","ppb","33","22","92.0000","42602","Nitrogen dioxide (NO2)","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","085","Santa Clara","37.348497","-121.894898"
"01/04/2012","060850005","1","45.3","ppb","42","22","92.0000","42602","Nitrogen dioxide (NO2)","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","085","Santa Clara","37.348497","-121.894898"
"01/05/2012","060850005","1","51.9","ppb","48","22","92.0000","42602","Nitrogen dioxide (NO2)","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","085","Santa Clara","37.348497","-121.894898"
"01/06/2012","060850005","1","37.6","ppb","35","22","92.0000","42602","Nitrogen dioxide (NO2)","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","085","Santa Clara","37.348497","-121.894898"
"01/07/2012","060850005","1","34.8","ppb","32","22","92.0000","42602","Nitrogen dioxide (NO2)","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","085","Santa Clara","37.348497","-121.894898"
"01/08/2012","060850005","1","37.3","ppb","35","22","92.0000","42602","Nitrogen dioxide (NO2)","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","085","Santa Clara","37.348497","-121.894898"
"01/09/2012","060850005","1","48.5","ppb","45","22","92.0000","42602","Nitrogen dioxide (NO2)","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","085","Santa Clara","37.348497","-121.894898"
"01/10/2012","060850005","1","52","ppb","49","22","92.0000","42602","Nitrogen dioxide (NO2)","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","085","Santa Clara","37.348497","-121.894898"
"01/11/2012","060850005","1","45.6","ppb","42","20","83.0000","42602","Nitrogen dioxide (NO2)","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","085","Santa Clara","37.348497","-121.894898"
"01/12/2012","060850005","1","49.2","ppb","46","22","92.0000","42602","Nitrogen dioxide (NO2)","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","085","Santa Clara","37.348497","-121.894898"
"01/13/2012","060850005","1","53.2","ppb","50","19","79.0000","42602","Nitrogen dioxide (NO2)","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","085","Santa Clara","37.348497","-121.894898"
