"Date","AQS_SITE_ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2012","060290007","1","0.042","ppm","39","17","100.0000","44201","Ozone","12540","Bakersfield, CA","06","California","029","Kern","35.3460940221646","-118.852037412835"
"01/02/2012","060290007","1","0.027","ppm","25","17","100.0000","44201","Ozone","12540","Bakersfield, CA","06","California","029","Kern","35.3460940221646","-118.852037412835"
"01/03/2012","060290007","1","0.035","ppm","32","17","100.0000","44201","Ozone","12540","Bakersfield, CA","06","California","029","Kern","35.3460940221646","-118.852037412835"
"01/04/2012","060290007","1","0.027","ppm","25","17","100.0000","44201","Ozone","12540","Bakersfield, CA","06","California","029","Kern","35.3460940221646","-118.852037412835"
"01/05/2012","060290007","1","0.038","ppm","35","17","100.0000","44201","Ozone","12540","Bakersfield, CA","06","California","029","Kern","35.3460940221646","-118.852037412835"
"01/06/2012","060290007","1","0.035","ppm","32","17","100.0000","44201","Ozone","12540","Bakersfield, CA","06","California","029","Kern","35.3460940221646","-118.852037412835"
"01/07/2012","060290007","1","0.029","ppm","27","17","100.0000","44201","Ozone","12540","Bakersfield, CA","06","California","029","Kern","35.3460940221646","-118.852037412835"
"01/08/2012","060290007","1","0.026","ppm","24","17","100.0000","44201","Ozone","12540","Bakersfield, CA","06","California","029","Kern","35.3460940221646","-118.852037412835"
"01/09/2012","060290007","1","0.027","ppm","25","17","100.0000","44201","Ozone","12540","Bakersfield, CA","06","California","029","Kern","35.3460940221646","-118.852037412835"
"01/10/2012","060290007","1","0.024","ppm","22","17","100.0000","44201","Ozone","12540","Bakersfield, CA","06","California","029","Kern","35.3460940221646","-118.852037412835"
"01/14/2012","060290007","1","0.041","ppm","38","17","100.0000","44201","Ozone","12540","Bakersfield, CA","06","California","029","Kern","35.3460940221646","-118.852037412835"
"01/15/2012","060290007","1","0.043","ppm","40","17","100.0000","44201","Ozone","12540","Bakersfield, CA","06","California","029","Kern","35.3460940221646","-118.852037412835"
"01/16/2012","060290007","1","0.035","ppm","32","17","100.0000","44201","Ozone","12540","Bakersfield, CA","06","California","029","Kern","35.3460940221646","-118.852037412835"
"01/17/2012","060290007","1","0.033","ppm","31","17","100.0000","44201","Ozone","12540","Bakersfield, CA","06","California","029","Kern","35.3460940221646","-118.852037412835"
"01/18/2012","060290007","1","0.03","ppm","28","17","100.0000","44201","Ozone","12540","Bakersfield, CA","06","California","029","Kern","35.3460940221646","-118.852037412835"
"01/19/2012","060290007","1","0.029","ppm","27","17","100.0000","44201","Ozone","12540","Bakersfield, CA","06","California","029","Kern","35.3460940221646","-118.852037412835"
"01/20/2012","060290007","1","0.034","ppm","31","17","100.0000","44201","Ozone","12540","Bakersfield, CA","06","California","029","Kern","35.3460940221646","-118.852037412835"
"01/21/2012","060290007","1","0.039","ppm","36","17","100.0000","44201","Ozone","12540","Bakersfield, CA","06","California","029","Kern","35.3460940221646","-118.852037412835"
"01/22/2012","060290007","1","0.037","ppm","34","17","100.0000","44201","Ozone","12540","Bakersfield, CA","06","California","029","Kern","35.3460940221646","-118.852037412835"
"01/23/2012","060290007","1","0.031","ppm","29","17","100.0000","44201","Ozone","12540","Bakersfield, CA","06","California","029","Kern","35.3460940221646","-118.852037412835"
"01/24/2012","060290007","1","0.024","ppm","22","17","100.0000","44201","Ozone","12540","Bakersfield, CA","06","California","029","Kern","35.3460940221646","-118.852037412835"
"01/25/2012","060290007","1","0.026","ppm","24","17","100.0000","44201","Ozone","12540","Bakersfield, CA","06","California","029","Kern","35.3460940221646","-118.852037412835"
