"Date","AQS_SITE_ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2014","060990005","1","0.032","ppm","30","17","100.0000","44201","Ozone","33700","Modesto, CA","06","California","099","Stanislaus","37.64158322349","-120.994622224098"
"01/02/2014","060990005","1","0.022","ppm","20","17","100.0000","44201","Ozone","33700","Modesto, CA","06","California","099","Stanislaus","37.64158322349","-120.994622224098"
"01/03/2014","060990005","1","0.02","ppm","19","17","100.0000","44201","Ozone","33700","Modesto, CA","06","California","099","Stanislaus","37.64158322349","-120.994622224098"
"01/04/2014","060990005","1","0.026","ppm","24","17","100.0000","44201","Ozone","33700","Modesto, CA","06","California","099","Stanislaus","37.64158322349","-120.994622224098"
"01/05/2014","060990005","1","0.023","ppm","21","17","100.0000","44201","Ozone","33700","Modesto, CA","06","California","099","Stanislaus","37.64158322349","-120.994622224098"
"01/06/2014","060990005","1","0.005","ppm","5","17","100.0000","44201","Ozone","33700","Modesto, CA","06","California","099","Stanislaus","37.64158322349","-120.994622224098"
"01/07/2014","060990005","1","0.017","ppm","16","17","100.0000","44201","Ozone","33700","Modesto, CA","06","California","099","Stanislaus","37.64158322349","-120.994622224098"
"01/08/2014","060990005","1","0.02","ppm","19","17","100.0000","44201","Ozone","33700","Modesto, CA","06","California","099","Stanislaus","37.64158322349","-120.994622224098"
"01/09/2014","060990005","1","0.029","ppm","27","17","100.0000","44201","Ozone","33700","Modesto, CA","06","California","099","Stanislaus","37.64158322349","-120.994622224098"
"01/10/2014","060990005","1","0.024","ppm","22","17","100.0000","44201","Ozone","33700","Modesto, CA","06","California","099","Stanislaus","37.64158322349","-120.994622224098"
"01/11/2014","060990005","1","0.021","ppm","19","17","100.0000","44201","Ozone","33700","Modesto, CA","06","California","099","Stanislaus","37.64158322349","-120.994622224098"
"01/12/2014","060990005","1","0.031","ppm","29","17","100.0000","44201","Ozone","33700","Modesto, CA","06","California","099","Stanislaus","37.64158322349","-120.994622224098"
"01/13/2014","060990005","1","0.02","ppm","19","17","100.0000","44201","Ozone","33700","Modesto, CA","06","California","099","Stanislaus","37.64158322349","-120.994622224098"
"01/14/2014","060990005","1","0.019","ppm","18","17","100.0000","44201","Ozone","33700","Modesto, CA","06","California","099","Stanislaus","37.64158322349","-120.994622224098"
"01/15/2014","060990005","1","0.019","ppm","18","17","100.0000","44201","Ozone","33700","Modesto, CA","06","California","099","Stanislaus","37.64158322349","-120.994622224098"
"01/16/2014","060990005","1","0.025","ppm","23","17","100.0000","44201","Ozone","33700","Modesto, CA","06","California","099","Stanislaus","37.64158322349","-120.994622224098"
"01/17/2014","060990005","1","0.02","ppm","19","17","100.0000","44201","Ozone","33700","Modesto, CA","06","California","099","Stanislaus","37.64158322349","-120.994622224098"
"01/18/2014","060990005","1","0.028","ppm","26","17","100.0000","44201","Ozone","33700","Modesto, CA","06","California","099","Stanislaus","37.64158322349","-120.994622224098"
"01/19/2014","060990005","1","0.033","ppm","31","17","100.0000","44201","Ozone","33700","Modesto, CA","06","California","099","Stanislaus","37.64158322349","-120.994622224098"
"01/20/2014","060990005","1","0.023","ppm","21","17","100.0000","44201","Ozone","33700","Modesto, CA","06","California","099","Stanislaus","37.64158322349","-120.994622224098"
"01/21/2014","060990005","1","0.019","ppm","18","17","100.0000","44201","Ozone","33700","Modesto, CA","06","California","099","Stanislaus","37.64158322349","-120.994622224098"
"01/22/2014","060990005","1","0.024","ppm","22","17","100.0000","44201","Ozone","33700","Modesto, CA","06","California","099","Stanislaus","37.64158322349","-120.994622224098"
"01/23/2014","060990005","1","0.034","ppm","31","17","100.0000","44201","Ozone","33700","Modesto, CA","06","California","099","Stanislaus","37.64158322349","-120.994622224098"
"01/24/2014","060990005","1","0.027","ppm","25","17","100.0000","44201","Ozone","33700","Modesto, CA","06","California","099","Stanislaus","37.64158322349","-120.994622224098"
"01/25/2014","060990005","1","0.031","ppm","29","17","100.0000","44201","Ozone","33700","Modesto, CA","06","California","099","Stanislaus","37.64158322349","-120.994622224098"
"01/26/2014","060990005","1","0.028","ppm","26","17","100.0000","44201","Ozone","33700","Modesto, CA","06","California","099","Stanislaus","37.64158322349","-120.994622224098"
"01/27/2014","060990005","1","0.024","ppm","22","17","100.0000","44201","Ozone","33700","Modesto, CA","06","California","099","Stanislaus","37.64158322349","-120.994622224098"
"01/28/2014","060990005","1","0.028","ppm","26","17","100.0000","44201","Ozone","33700","Modesto, CA","06","California","099","Stanislaus","37.64158322349","-120.994622224098"
"01/29/2014","060990005","1","0.021","ppm","19","17","100.0000","44201","Ozone","33700","Modesto, CA","06","California","099","Stanislaus","37.64158322349","-120.994622224098"
"01/30/2014","060990005","1","0.032","ppm","30","17","100.0000","44201","Ozone","33700","Modesto, CA","06","California","099","Stanislaus","37.64158322349","-120.994622224098"
"01/31/2014","060990005","1","0.029","ppm","27","17","100.0000","44201","Ozone","33700","Modesto, CA","06","California","099","Stanislaus","37.64158322349","-120.994622224098"
"02/01/2014","060990005","1","0.03","ppm","28","17","100.0000","44201","Ozone","33700","Modesto, CA","06","California","099","Stanislaus","37.64158322349","-120.994622224098"
"02/02/2014","060990005","1","0.034","ppm","31","17","100.0000","44201","Ozone","33700","Modesto, CA","06","California","099","Stanislaus","37.64158322349","-120.994622224098"
"02/03/2014","060990005","1","0.034","ppm","31","17","100.0000","44201","Ozone","33700","Modesto, CA","06","California","099","Stanislaus","37.64158322349","-120.994622224098"
"02/04/2014","060990005","1","0.026","ppm","24","17","100.0000","44201","Ozone","33700","Modesto, CA","06","California","099","Stanislaus","37.64158322349","-120.994622224098"
"02/05/2014","060990005","1","0.029","ppm","27","17","100.0000","44201","Ozone","33700","Modesto, CA","06","California","099","Stanislaus","37.64158322349","-120.994622224098"
"02/06/2014","060990005","1","0.032","ppm","30","17","100.0000","44201","Ozone","33700","Modesto, CA","06","California","099","Stanislaus","37.64158322349","-120.994622224098"
"02/07/2014","060990005","1","0.028","ppm","26","17","100.0000","44201","Ozone","33700","Modesto, CA","06","California","099","Stanislaus","37.64158322349","-120.994622224098"
"02/08/2014","060990005","1","0.024","ppm","22","17","100.0000","44201","Ozone","33700","Modesto, CA","06","California","099","Stanislaus","37.64158322349","-120.994622224098"
"02/09/2014","060990005","1","0.023","ppm","21","17","100.0000","44201","Ozone","33700","Modesto, CA","06","California","099","Stanislaus","37.64158322349","-120.994622224098"
"02/10/2014","060990005","1","0.025","ppm","23","17","100.0000","44201","Ozone","33700","Modesto, CA","06","California","099","Stanislaus","37.64158322349","-120.994622224098"
"02/11/2014","060990005","1","0.029","ppm","27","17","100.0000","44201","Ozone","33700","Modesto, CA","06","California","099","Stanislaus","37.64158322349","-120.994622224098"
"02/12/2014","060990005","1","0.028","ppm","26","17","100.0000","44201","Ozone","33700","Modesto, CA","06","California","099","Stanislaus","37.64158322349","-120.994622224098"
"02/13/2014","060990005","1","0.025","ppm","23","17","100.0000","44201","Ozone","33700","Modesto, CA","06","California","099","Stanislaus","37.64158322349","-120.994622224098"
"02/14/2014","060990005","1","0.021","ppm","19","17","100.0000","44201","Ozone","33700","Modesto, CA","06","California","099","Stanislaus","37.64158322349","-120.994622224098"
"02/15/2014","060990005","1","0.011","ppm","10","17","100.0000","44201","Ozone","33700","Modesto, CA","06","California","099","Stanislaus","37.64158322349","-120.994622224098"
"02/16/2014","060990005","1","0.039","ppm","36","17","100.0000","44201","Ozone","33700","Modesto, CA","06","California","099","Stanislaus","37.64158322349","-120.994622224098"
"02/17/2014","060990005","1","0.033","ppm","31","17","100.0000","44201","Ozone","33700","Modesto, CA","06","California","099","Stanislaus","37.64158322349","-120.994622224098"
"02/18/2014","060990005","1","0.028","ppm","26","17","100.0000","44201","Ozone","33700","Modesto, CA","06","California","099","Stanislaus","37.64158322349","-120.994622224098"
"02/19/2014","060990005","1","0.035","ppm","32","17","100.0000","44201","Ozone","33700","Modesto, CA","06","California","099","Stanislaus","37.64158322349","-120.994622224098"
"02/20/2014","060990005","1","0.027","ppm","25","17","100.0000","44201","Ozone","33700","Modesto, CA","06","California","099","Stanislaus","37.64158322349","-120.994622224098"
"02/21/2014","060990005","1","0.031","ppm","29","17","100.0000","44201","Ozone","33700","Modesto, CA","06","California","099","Stanislaus","37.64158322349","-120.994622224098"
"02/22/2014","060990005","1","0.035","ppm","32","17","100.0000","44201","Ozone","33700","Modesto, CA","06","California","099","Stanislaus","37.64158322349","-120.994622224098"
"02/23/2014","060990005","1","0.04","ppm","37","17","100.0000","44201","Ozone","33700","Modesto, CA","06","California","099","Stanislaus","37.64158322349","-120.994622224098"
"02/24/2014","060990005","1","0.036","ppm","33","17","100.0000","44201","Ozone","33700","Modesto, CA","06","California","099","Stanislaus","37.64158322349","-120.994622224098"
"02/25/2014","060990005","1","0.045","ppm","42","17","100.0000","44201","Ozone","33700","Modesto, CA","06","California","099","Stanislaus","37.64158322349","-120.994622224098"
"02/26/2014","060990005","1","0.036","ppm","33","17","100.0000","44201","Ozone","33700","Modesto, CA","06","California","099","Stanislaus","37.64158322349","-120.994622224098"
"02/27/2014","060990005","1","0.041","ppm","38","17","100.0000","44201","Ozone","33700","Modesto, CA","06","California","099","Stanislaus","37.64158322349","-120.994622224098"
"02/28/2014","060990005","1","0.037","ppm","34","17","100.0000","44201","Ozone","33700","Modesto, CA","06","California","099","Stanislaus","37.64158322349","-120.994622224098"
"03/01/2014","060990005","1","0.042","ppm","39","17","100.0000","44201","Ozone","33700","Modesto, CA","06","California","099","Stanislaus","37.64158322349","-120.994622224098"
"03/02/2014","060990005","1","0.033","ppm","31","17","100.0000","44201","Ozone","33700","Modesto, CA","06","California","099","Stanislaus","37.64158322349","-120.994622224098"
"03/03/2014","060990005","1","0.029","ppm","27","17","100.0000","44201","Ozone","33700","Modesto, CA","06","California","099","Stanislaus","37.64158322349","-120.994622224098"
"03/04/2014","060990005","1","0.032","ppm","30","17","100.0000","44201","Ozone","33700","Modesto, CA","06","California","099","Stanislaus","37.64158322349","-120.994622224098"
"03/05/2014","060990005","1","0.035","ppm","32","17","100.0000","44201","Ozone","33700","Modesto, CA","06","California","099","Stanislaus","37.64158322349","-120.994622224098"
"03/06/2014","060990005","1","0.042","ppm","39","17","100.0000","44201","Ozone","33700","Modesto, CA","06","California","099","Stanislaus","37.64158322349","-120.994622224098"
"03/07/2014","060990005","1","0.037","ppm","34","17","100.0000","44201","Ozone","33700","Modesto, CA","06","California","099","Stanislaus","37.64158322349","-120.994622224098"
"03/08/2014","060990005","1","0.041","ppm","38","17","100.0000","44201","Ozone","33700","Modesto, CA","06","California","099","Stanislaus","37.64158322349","-120.994622224098"
"03/09/2014","060990005","1","0.044","ppm","41","17","100.0000","44201","Ozone","33700","Modesto, CA","06","California","099","Stanislaus","37.64158322349","-120.994622224098"
"03/10/2014","060990005","1","0.045","ppm","42","17","100.0000","44201","Ozone","33700","Modesto, CA","06","California","099","Stanislaus","37.64158322349","-120.994622224098"
"03/11/2014","060990005","1","0.043","ppm","40","17","100.0000","44201","Ozone","33700","Modesto, CA","06","California","099","Stanislaus","37.64158322349","-120.994622224098"
"03/12/2014","060990005","1","0.044","ppm","41","17","100.0000","44201","Ozone","33700","Modesto, CA","06","California","099","Stanislaus","37.64158322349","-120.994622224098"
"03/13/2014","060990005","1","0.041","ppm","38","17","100.0000","44201","Ozone","33700","Modesto, CA","06","California","099","Stanislaus","37.64158322349","-120.994622224098"
"03/14/2014","060990005","1","0.042","ppm","39","17","100.0000","44201","Ozone","33700","Modesto, CA","06","California","099","Stanislaus","37.64158322349","-120.994622224098"
"03/15/2014","060990005","1","0.047","ppm","44","17","100.0000","44201","Ozone","33700","Modesto, CA","06","California","099","Stanislaus","37.64158322349","-120.994622224098"
"03/16/2014","060990005","1","0.065","ppm","84","17","100.0000","44201","Ozone","33700","Modesto, CA","06","California","099","Stanislaus","37.64158322349","-120.994622224098"
"03/17/2014","060990005","1","0.047","ppm","44","17","100.0000","44201","Ozone","33700","Modesto, CA","06","California","099","Stanislaus","37.64158322349","-120.994622224098"
"03/18/2014","060990005","1","0.041","ppm","38","17","100.0000","44201","Ozone","33700","Modesto, CA","06","California","099","Stanislaus","37.64158322349","-120.994622224098"
"03/19/2014","060990005","1","0.05","ppm","46","17","100.0000","44201","Ozone","33700","Modesto, CA","06","California","099","Stanislaus","37.64158322349","-120.994622224098"
"03/20/2014","060990005","1","0.059","ppm","64","17","100.0000","44201","Ozone","33700","Modesto, CA","06","California","099","Stanislaus","37.64158322349","-120.994622224098"
"03/21/2014","060990005","1","0.055","ppm","51","17","100.0000","44201","Ozone","33700","Modesto, CA","06","California","099","Stanislaus","37.64158322349","-120.994622224098"
"03/22/2014","060990005","1","0.052","ppm","48","17","100.0000","44201","Ozone","33700","Modesto, CA","06","California","099","Stanislaus","37.64158322349","-120.994622224098"
"03/23/2014","060990005","1","0.053","ppm","49","17","100.0000","44201","Ozone","33700","Modesto, CA","06","California","099","Stanislaus","37.64158322349","-120.994622224098"
"03/24/2014","060990005","1","0.057","ppm","58","17","100.0000","44201","Ozone","33700","Modesto, CA","06","California","099","Stanislaus","37.64158322349","-120.994622224098"
"03/25/2014","060990005","1","0.043","ppm","40","17","100.0000","44201","Ozone","33700","Modesto, CA","06","California","099","Stanislaus","37.64158322349","-120.994622224098"
"03/26/2014","060990005","1","0.039","ppm","36","17","100.0000","44201","Ozone","33700","Modesto, CA","06","California","099","Stanislaus","37.64158322349","-120.994622224098"
"03/27/2014","060990005","1","0.047","ppm","44","17","100.0000","44201","Ozone","33700","Modesto, CA","06","California","099","Stanislaus","37.64158322349","-120.994622224098"
"03/28/2014","060990005","1","0.042","ppm","39","17","100.0000","44201","Ozone","33700","Modesto, CA","06","California","099","Stanislaus","37.64158322349","-120.994622224098"
"03/29/2014","060990005","1","0.034","ppm","31","17","100.0000","44201","Ozone","33700","Modesto, CA","06","California","099","Stanislaus","37.64158322349","-120.994622224098"
"03/30/2014","060990005","1","0.046","ppm","43","17","100.0000","44201","Ozone","33700","Modesto, CA","06","California","099","Stanislaus","37.64158322349","-120.994622224098"
"03/31/2014","060990005","1","0.04","ppm","37","17","100.0000","44201","Ozone","33700","Modesto, CA","06","California","099","Stanislaus","37.64158322349","-120.994622224098"
"04/01/2014","060990005","1","0.043","ppm","40","17","100.0000","44201","Ozone","33700","Modesto, CA","06","California","099","Stanislaus","37.64158322349","-120.994622224098"
"04/02/2014","060990005","1","0.047","ppm","44","17","100.0000","44201","Ozone","33700","Modesto, CA","06","California","099","Stanislaus","37.64158322349","-120.994622224098"
"04/03/2014","060990005","1","0.049","ppm","45","17","100.0000","44201","Ozone","33700","Modesto, CA","06","California","099","Stanislaus","37.64158322349","-120.994622224098"
"04/04/2014","060990005","1","0.044","ppm","41","17","100.0000","44201","Ozone","33700","Modesto, CA","06","California","099","Stanislaus","37.64158322349","-120.994622224098"
"04/05/2014","060990005","1","0.046","ppm","43","17","100.0000","44201","Ozone","33700","Modesto, CA","06","California","099","Stanislaus","37.64158322349","-120.994622224098"
"04/06/2014","060990005","1","0.044","ppm","41","17","100.0000","44201","Ozone","33700","Modesto, CA","06","California","099","Stanislaus","37.64158322349","-120.994622224098"
"04/07/2014","060990005","1","0.055","ppm","51","17","100.0000","44201","Ozone","33700","Modesto, CA","06","California","099","Stanislaus","37.64158322349","-120.994622224098"
"04/08/2014","060990005","1","0.062","ppm","74","17","100.0000","44201","Ozone","33700","Modesto, CA","06","California","099","Stanislaus","37.64158322349","-120.994622224098"
"04/09/2014","060990005","1","0.064","ppm","80","17","100.0000","44201","Ozone","33700","Modesto, CA","06","California","099","Stanislaus","37.64158322349","-120.994622224098"
"04/10/2014","060990005","1","0.054","ppm","50","17","100.0000","44201","Ozone","33700","Modesto, CA","06","California","099","Stanislaus","37.64158322349","-120.994622224098"
"04/11/2014","060990005","1","0.049","ppm","45","17","100.0000","44201","Ozone","33700","Modesto, CA","06","California","099","Stanislaus","37.64158322349","-120.994622224098"
"04/12/2014","060990005","1","0.052","ppm","48","17","100.0000","44201","Ozone","33700","Modesto, CA","06","California","099","Stanislaus","37.64158322349","-120.994622224098"
"04/13/2014","060990005","1","0.051","ppm","47","17","100.0000","44201","Ozone","33700","Modesto, CA","06","California","099","Stanislaus","37.64158322349","-120.994622224098"
"04/14/2014","060990005","1","0.06","ppm","67","17","100.0000","44201","Ozone","33700","Modesto, CA","06","California","099","Stanislaus","37.64158322349","-120.994622224098"
"04/15/2014","060990005","1","0.062","ppm","74","17","100.0000","44201","Ozone","33700","Modesto, CA","06","California","099","Stanislaus","37.64158322349","-120.994622224098"
"04/16/2014","060990005","1","0.052","ppm","48","17","100.0000","44201","Ozone","33700","Modesto, CA","06","California","099","Stanislaus","37.64158322349","-120.994622224098"
"04/17/2014","060990005","1","0.056","ppm","54","17","100.0000","44201","Ozone","33700","Modesto, CA","06","California","099","Stanislaus","37.64158322349","-120.994622224098"
"04/18/2014","060990005","1","0.052","ppm","48","17","100.0000","44201","Ozone","33700","Modesto, CA","06","California","099","Stanislaus","37.64158322349","-120.994622224098"
"04/19/2014","060990005","1","0.058","ppm","61","17","100.0000","44201","Ozone","33700","Modesto, CA","06","California","099","Stanislaus","37.64158322349","-120.994622224098"
"04/20/2014","060990005","1","0.055","ppm","51","17","100.0000","44201","Ozone","33700","Modesto, CA","06","California","099","Stanislaus","37.64158322349","-120.994622224098"
"04/21/2014","060990005","1","0.063","ppm","77","17","100.0000","44201","Ozone","33700","Modesto, CA","06","California","099","Stanislaus","37.64158322349","-120.994622224098"
"04/22/2014","060990005","1","0.054","ppm","50","17","100.0000","44201","Ozone","33700","Modesto, CA","06","California","099","Stanislaus","37.64158322349","-120.994622224098"
"04/23/2014","060990005","1","0.05","ppm","46","17","100.0000","44201","Ozone","33700","Modesto, CA","06","California","099","Stanislaus","37.64158322349","-120.994622224098"
"04/24/2014","060990005","1","0.052","ppm","48","17","100.0000","44201","Ozone","33700","Modesto, CA","06","California","099","Stanislaus","37.64158322349","-120.994622224098"
"04/25/2014","060990005","1","0.048","ppm","44","17","100.0000","44201","Ozone","33700","Modesto, CA","06","California","099","Stanislaus","37.64158322349","-120.994622224098"
"04/26/2014","060990005","1","0.049","ppm","45","17","100.0000","44201","Ozone","33700","Modesto, CA","06","California","099","Stanislaus","37.64158322349","-120.994622224098"
"04/27/2014","060990005","1","0.054","ppm","50","17","100.0000","44201","Ozone","33700","Modesto, CA","06","California","099","Stanislaus","37.64158322349","-120.994622224098"
"04/28/2014","060990005","1","0.054","ppm","50","17","100.0000","44201","Ozone","33700","Modesto, CA","06","California","099","Stanislaus","37.64158322349","-120.994622224098"
