"Date","AQS_SITE_ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2016","060170010","1","0.043","ppm","40","17","100.0000","44201","Ozone","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","017","El Dorado","38.725282","-120.821916"
"01/02/2016","060170010","1","0.038","ppm","35","17","100.0000","44201","Ozone","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","017","El Dorado","38.725282","-120.821916"
"01/03/2016","060170010","1","0.042","ppm","39","17","100.0000","44201","Ozone","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","017","El Dorado","38.725282","-120.821916"
"01/04/2016","060170010","1","0.04","ppm","37","17","100.0000","44201","Ozone","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","017","El Dorado","38.725282","-120.821916"
"01/05/2016","060170010","1","0.039","ppm","36","17","100.0000","44201","Ozone","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","017","El Dorado","38.725282","-120.821916"
"01/06/2016","060170010","1","0.042","ppm","39","17","100.0000","44201","Ozone","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","017","El Dorado","38.725282","-120.821916"
"01/07/2016","060170010","1","0.037","ppm","34","17","100.0000","44201","Ozone","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","017","El Dorado","38.725282","-120.821916"
"01/08/2016","060170010","1","0.035","ppm","32","17","100.0000","44201","Ozone","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","017","El Dorado","38.725282","-120.821916"
"01/09/2016","060170010","1","0.04","ppm","37","17","100.0000","44201","Ozone","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","017","El Dorado","38.725282","-120.821916"
"01/10/2016","060170010","1","0.035","ppm","32","17","100.0000","44201","Ozone","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","017","El Dorado","38.725282","-120.821916"
"01/11/2016","060170010","1","0.036","ppm","33","17","100.0000","44201","Ozone","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","017","El Dorado","38.725282","-120.821916"
"01/12/2016","060170010","1","0.045","ppm","42","17","100.0000","44201","Ozone","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","017","El Dorado","38.725282","-120.821916"
"01/13/2016","060170010","1","0.041","ppm","38","17","100.0000","44201","Ozone","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","017","El Dorado","38.725282","-120.821916"
"01/14/2016","060170010","1","0.044","ppm","41","17","100.0000","44201","Ozone","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","017","El Dorado","38.725282","-120.821916"
"01/15/2016","060170010","1","0.038","ppm","35","17","100.0000","44201","Ozone","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","017","El Dorado","38.725282","-120.821916"
"01/16/2016","060170010","1","0.035","ppm","32","17","100.0000","44201","Ozone","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","017","El Dorado","38.725282","-120.821916"
"01/17/2016","060170010","1","0.04","ppm","37","17","100.0000","44201","Ozone","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","017","El Dorado","38.725282","-120.821916"
"01/18/2016","060170010","1","0.04","ppm","37","17","100.0000","44201","Ozone","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","017","El Dorado","38.725282","-120.821916"
"01/19/2016","060170010","1","0.042","ppm","39","17","100.0000","44201","Ozone","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","017","El Dorado","38.725282","-120.821916"
"01/20/2016","060170010","1","0.03","ppm","28","17","100.0000","44201","Ozone","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","017","El Dorado","38.725282","-120.821916"
"01/21/2016","060170010","1","0.041","ppm","38","17","100.0000","44201","Ozone","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","017","El Dorado","38.725282","-120.821916"
"01/22/2016","060170010","1","0.045","ppm","42","17","100.0000","44201","Ozone","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","017","El Dorado","38.725282","-120.821916"
"01/23/2016","060170010","1","0.041","ppm","38","17","100.0000","44201","Ozone","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","017","El Dorado","38.725282","-120.821916"
"01/24/2016","060170010","1","0.031","ppm","29","17","100.0000","44201","Ozone","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","017","El Dorado","38.725282","-120.821916"
"01/25/2016","060170010","1","0.031","ppm","29","17","100.0000","44201","Ozone","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","017","El Dorado","38.725282","-120.821916"
"01/26/2016","060170010","1","0.032","ppm","30","17","100.0000","44201","Ozone","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","017","El Dorado","38.725282","-120.821916"
"01/27/2016","060170010","1","0.039","ppm","36","17","100.0000","44201","Ozone","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","017","El Dorado","38.725282","-120.821916"
"01/28/2016","060170010","1","0.031","ppm","29","17","100.0000","44201","Ozone","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","017","El Dorado","38.725282","-120.821916"
"01/29/2016","060170010","1","0.037","ppm","34","17","100.0000","44201","Ozone","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","017","El Dorado","38.725282","-120.821916"
"01/30/2016","060170010","1","0.04","ppm","37","17","100.0000","44201","Ozone","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","017","El Dorado","38.725282","-120.821916"
"01/31/2016","060170010","1","0.038","ppm","35","17","100.0000","44201","Ozone","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","017","El Dorado","38.725282","-120.821916"
"02/01/2016","060170010","1","0.04","ppm","37","17","100.0000","44201","Ozone","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","017","El Dorado","38.725282","-120.821916"
"02/02/2016","060170010","1","0.039","ppm","36","17","100.0000","44201","Ozone","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","017","El Dorado","38.725282","-120.821916"
"02/03/2016","060170010","1","0.038","ppm","35","17","100.0000","44201","Ozone","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","017","El Dorado","38.725282","-120.821916"
