"Date","AQS_SITE_ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2012","060790005","1","0.026","ppm","24","17","100.0000","44201","Ozone","42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA","06","California","079","San Luis Obispo","35.6316288366338","-120.690977495172"
"01/02/2012","060790005","1","0.018","ppm","17","17","100.0000","44201","Ozone","42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA","06","California","079","San Luis Obispo","35.6316288366338","-120.690977495172"
"01/03/2012","060790005","1","0.033","ppm","31","17","100.0000","44201","Ozone","42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA","06","California","079","San Luis Obispo","35.6316288366338","-120.690977495172"
"01/04/2012","060790005","1","0.028","ppm","26","17","100.0000","44201","Ozone","42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA","06","California","079","San Luis Obispo","35.6316288366338","-120.690977495172"
"01/05/2012","060790005","1","0.034","ppm","31","17","100.0000","44201","Ozone","42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA","06","California","079","San Luis Obispo","35.6316288366338","-120.690977495172"
"01/06/2012","060790005","1","0.027","ppm","25","17","100.0000","44201","Ozone","42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA","06","California","079","San Luis Obispo","35.6316288366338","-120.690977495172"
"01/07/2012","060790005","1","0.032","ppm","30","17","100.0000","44201","Ozone","42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA","06","California","079","San Luis Obispo","35.6316288366338","-120.690977495172"
"01/08/2012","060790005","1","0.03","ppm","28","17","100.0000","44201","Ozone","42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA","06","California","079","San Luis Obispo","35.6316288366338","-120.690977495172"
"01/09/2012","060790005","1","0.027","ppm","25","17","100.0000","44201","Ozone","42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA","06","California","079","San Luis Obispo","35.6316288366338","-120.690977495172"
"01/10/2012","060790005","1","0.034","ppm","31","17","100.0000","44201","Ozone","42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA","06","California","079","San Luis Obispo","35.6316288366338","-120.690977495172"
"01/11/2012","060790005","1","0.018","ppm","17","17","100.0000","44201","Ozone","42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA","06","California","079","San Luis Obispo","35.6316288366338","-120.690977495172"
"01/12/2012","060790005","1","0.039","ppm","36","17","100.0000","44201","Ozone","42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA","06","California","079","San Luis Obispo","35.6316288366338","-120.690977495172"
"01/13/2012","060790005","1","0.035","ppm","32","17","100.0000","44201","Ozone","42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA","06","California","079","San Luis Obispo","35.6316288366338","-120.690977495172"
"01/14/2012","060790005","1","0.03","ppm","28","17","100.0000","44201","Ozone","42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA","06","California","079","San Luis Obispo","35.6316288366338","-120.690977495172"
"01/15/2012","060790005","1","0.038","ppm","35","17","100.0000","44201","Ozone","42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA","06","California","079","San Luis Obispo","35.6316288366338","-120.690977495172"
"01/16/2012","060790005","1","0.034","ppm","31","17","100.0000","44201","Ozone","42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA","06","California","079","San Luis Obispo","35.6316288366338","-120.690977495172"
"01/17/2012","060790005","1","0.034","ppm","31","17","100.0000","44201","Ozone","42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA","06","California","079","San Luis Obispo","35.6316288366338","-120.690977495172"
"01/18/2012","060790005","1","0.033","ppm","31","17","100.0000","44201","Ozone","42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA","06","California","079","San Luis Obispo","35.6316288366338","-120.690977495172"
"01/19/2012","060790005","1","0.024","ppm","22","17","100.0000","44201","Ozone","42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA","06","California","079","San Luis Obispo","35.6316288366338","-120.690977495172"
"01/20/2012","060790005","1","0.031","ppm","29","17","100.0000","44201","Ozone","42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA","06","California","079","San Luis Obispo","35.6316288366338","-120.690977495172"
"01/21/2012","060790005","1","0.034","ppm","31","17","100.0000","44201","Ozone","42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA","06","California","079","San Luis Obispo","35.6316288366338","-120.690977495172"
"01/22/2012","060790005","1","0.032","ppm","30","17","100.0000","44201","Ozone","42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA","06","California","079","San Luis Obispo","35.6316288366338","-120.690977495172"
"01/23/2012","060790005","1","0.034","ppm","31","17","100.0000","44201","Ozone","42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA","06","California","079","San Luis Obispo","35.6316288366338","-120.690977495172"
"01/24/2012","060790005","1","0.028","ppm","26","17","100.0000","44201","Ozone","42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA","06","California","079","San Luis Obispo","35.6316288366338","-120.690977495172"
"01/25/2012","060790005","1","0.031","ppm","29","17","100.0000","44201","Ozone","42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA","06","California","079","San Luis Obispo","35.6316288366338","-120.690977495172"
"01/26/2012","060790005","1","0.023","ppm","21","17","100.0000","44201","Ozone","42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA","06","California","079","San Luis Obispo","35.6316288366338","-120.690977495172"
"01/27/2012","060790005","1","0.03","ppm","28","17","100.0000","44201","Ozone","42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA","06","California","079","San Luis Obispo","35.6316288366338","-120.690977495172"
"01/28/2012","060790005","1","0.032","ppm","30","17","100.0000","44201","Ozone","42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA","06","California","079","San Luis Obispo","35.6316288366338","-120.690977495172"
"01/29/2012","060790005","1","0.03","ppm","28","17","100.0000","44201","Ozone","42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA","06","California","079","San Luis Obispo","35.6316288366338","-120.690977495172"
"01/30/2012","060790005","1","0.026","ppm","24","17","100.0000","44201","Ozone","42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA","06","California","079","San Luis Obispo","35.6316288366338","-120.690977495172"
"01/31/2012","060790005","1","0.03","ppm","28","17","100.0000","44201","Ozone","42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA","06","California","079","San Luis Obispo","35.6316288366338","-120.690977495172"
"02/01/2012","060790005","1","0.029","ppm","27","17","100.0000","44201","Ozone","42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA","06","California","079","San Luis Obispo","35.6316288366338","-120.690977495172"
"02/02/2012","060790005","1","0.033","ppm","31","17","100.0000","44201","Ozone","42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA","06","California","079","San Luis Obispo","35.6316288366338","-120.690977495172"
"02/03/2012","060790005","1","0.035","ppm","32","17","100.0000","44201","Ozone","42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA","06","California","079","San Luis Obispo","35.6316288366338","-120.690977495172"
"02/04/2012","060790005","1","0.035","ppm","32","17","100.0000","44201","Ozone","42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA","06","California","079","San Luis Obispo","35.6316288366338","-120.690977495172"
"02/05/2012","060790005","1","0.038","ppm","35","17","100.0000","44201","Ozone","42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA","06","California","079","San Luis Obispo","35.6316288366338","-120.690977495172"
"02/06/2012","060790005","1","0.043","ppm","40","17","100.0000","44201","Ozone","42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA","06","California","079","San Luis Obispo","35.6316288366338","-120.690977495172"
"02/07/2012","060790005","1","0.029","ppm","27","17","100.0000","44201","Ozone","42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA","06","California","079","San Luis Obispo","35.6316288366338","-120.690977495172"
"02/08/2012","060790005","1","0.039","ppm","36","17","100.0000","44201","Ozone","42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA","06","California","079","San Luis Obispo","35.6316288366338","-120.690977495172"
"02/09/2012","060790005","1","0.036","ppm","33","17","100.0000","44201","Ozone","42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA","06","California","079","San Luis Obispo","35.6316288366338","-120.690977495172"
"02/10/2012","060790005","1","0.034","ppm","31","17","100.0000","44201","Ozone","42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA","06","California","079","San Luis Obispo","35.6316288366338","-120.690977495172"
"02/11/2012","060790005","1","0.036","ppm","33","17","100.0000","44201","Ozone","42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA","06","California","079","San Luis Obispo","35.6316288366338","-120.690977495172"
"02/12/2012","060790005","1","0.033","ppm","31","17","100.0000","44201","Ozone","42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA","06","California","079","San Luis Obispo","35.6316288366338","-120.690977495172"
"02/13/2012","060790005","1","0.037","ppm","34","17","100.0000","44201","Ozone","42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA","06","California","079","San Luis Obispo","35.6316288366338","-120.690977495172"
"02/14/2012","060790005","1","0.031","ppm","29","17","100.0000","44201","Ozone","42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA","06","California","079","San Luis Obispo","35.6316288366338","-120.690977495172"
"02/15/2012","060790005","1","0.034","ppm","31","17","100.0000","44201","Ozone","42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA","06","California","079","San Luis Obispo","35.6316288366338","-120.690977495172"
