"Date","AQS_SITE_ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2016","060190011","1","43.5","ug/m3 LC","121","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","23420","Fresno, CA","06","California","019","Fresno","36.7853217602452","-119.774173890206"
"01/01/2016","060190011","1","47.9","ug/m3 LC","132","1","100.0000","88101","PM2.5 - Local Conditions","23420","Fresno, CA","06","California","019","Fresno","36.7853217602452","-119.774173890206"
"01/02/2016","060190011","1","47.4","ug/m3 LC","130","1","100.0000","88101","PM2.5 - Local Conditions","23420","Fresno, CA","06","California","019","Fresno","36.7853217602452","-119.774173890206"
"01/03/2016","060190011","1","35.6","ug/m3 LC","101","1","100.0000","88101","PM2.5 - Local Conditions","23420","Fresno, CA","06","California","019","Fresno","36.7853217602452","-119.774173890206"
"01/04/2016","060190011","1","37.8","ug/m3 LC","107","1","100.0000","88101","PM2.5 - Local Conditions","23420","Fresno, CA","06","California","019","Fresno","36.7853217602452","-119.774173890206"
"01/04/2016","060190011","1","34.3","ug/m3 LC","98","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","23420","Fresno, CA","06","California","019","Fresno","36.7853217602452","-119.774173890206"
"01/05/2016","060190011","1","11.9","ug/m3 LC","50","1","100.0000","88101","PM2.5 - Local Conditions","23420","Fresno, CA","06","California","019","Fresno","36.7853217602452","-119.774173890206"
"01/06/2016","060190011","1","3.8","ug/m3 LC","16","1","100.0000","88101","PM2.5 - Local Conditions","23420","Fresno, CA","06","California","019","Fresno","36.7853217602452","-119.774173890206"
"01/07/2016","060190011","1","4.4","ug/m3 LC","18","1","100.0000","88101","PM2.5 - Local Conditions","23420","Fresno, CA","06","California","019","Fresno","36.7853217602452","-119.774173890206"
"01/07/2016","060190011","1","4.5","ug/m3 LC","19","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","23420","Fresno, CA","06","California","019","Fresno","36.7853217602452","-119.774173890206"
"01/08/2016","060190011","1","13.4","ug/m3 LC","54","1","100.0000","88101","PM2.5 - Local Conditions","23420","Fresno, CA","06","California","019","Fresno","36.7853217602452","-119.774173890206"
"01/09/2016","060190011","1","9.4","ug/m3 LC","39","1","100.0000","88101","PM2.5 - Local Conditions","23420","Fresno, CA","06","California","019","Fresno","36.7853217602452","-119.774173890206"
"01/10/2016","060190011","1","15.1","ug/m3 LC","57","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","23420","Fresno, CA","06","California","019","Fresno","36.7853217602452","-119.774173890206"
"01/11/2016","060190011","1","17.4","ug/m3 LC","62","1","100.0000","88101","PM2.5 - Local Conditions","23420","Fresno, CA","06","California","019","Fresno","36.7853217602452","-119.774173890206"
"01/12/2016","060190011","1","25.4","ug/m3 LC","79","1","100.0000","88101","PM2.5 - Local Conditions","23420","Fresno, CA","06","California","019","Fresno","36.7853217602452","-119.774173890206"
"01/13/2016","060190011","1","10.2","ug/m3 LC","43","1","100.0000","88101","PM2.5 - Local Conditions","23420","Fresno, CA","06","California","019","Fresno","36.7853217602452","-119.774173890206"
"01/13/2016","060190011","1","10.7","ug/m3 LC","45","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","23420","Fresno, CA","06","California","019","Fresno","36.7853217602452","-119.774173890206"
"01/14/2016","060190011","1","12.9","ug/m3 LC","53","1","100.0000","88101","PM2.5 - Local Conditions","23420","Fresno, CA","06","California","019","Fresno","36.7853217602452","-119.774173890206"
"01/15/2016","060190011","1","14","ug/m3 LC","55","1","100.0000","88101","PM2.5 - Local Conditions","23420","Fresno, CA","06","California","019","Fresno","36.7853217602452","-119.774173890206"
"01/16/2016","060190011","1","14","ug/m3 LC","55","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","23420","Fresno, CA","06","California","019","Fresno","36.7853217602452","-119.774173890206"
"01/16/2016","060190011","1","13.9","ug/m3 LC","55","1","100.0000","88101","PM2.5 - Local Conditions","23420","Fresno, CA","06","California","019","Fresno","36.7853217602452","-119.774173890206"
"01/17/2016","060190011","1","15.1","ug/m3 LC","57","1","100.0000","88101","PM2.5 - Local Conditions","23420","Fresno, CA","06","California","019","Fresno","36.7853217602452","-119.774173890206"
"01/18/2016","060190011","1","7.5","ug/m3 LC","31","1","100.0000","88101","PM2.5 - Local Conditions","23420","Fresno, CA","06","California","019","Fresno","36.7853217602452","-119.774173890206"
"01/19/2016","060190011","1","5.8","ug/m3 LC","24","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","23420","Fresno, CA","06","California","019","Fresno","36.7853217602452","-119.774173890206"
"01/21/2016","060190011","1","13.2","ug/m3 LC","53","1","100.0000","88101","PM2.5 - Local Conditions","23420","Fresno, CA","06","California","019","Fresno","36.7853217602452","-119.774173890206"
"01/22/2016","060190011","1","6.9","ug/m3 LC","29","1","100.0000","88101","PM2.5 - Local Conditions","23420","Fresno, CA","06","California","019","Fresno","36.7853217602452","-119.774173890206"
"01/22/2016","060190011","1","6.7","ug/m3 LC","28","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","23420","Fresno, CA","06","California","019","Fresno","36.7853217602452","-119.774173890206"
"01/23/2016","060190011","1","3.7","ug/m3 LC","15","1","100.0000","88101","PM2.5 - Local Conditions","23420","Fresno, CA","06","California","019","Fresno","36.7853217602452","-119.774173890206"
"01/24/2016","060190011","1","7.8","ug/m3 LC","33","1","100.0000","88101","PM2.5 - Local Conditions","23420","Fresno, CA","06","California","019","Fresno","36.7853217602452","-119.774173890206"
"01/25/2016","060190011","1","16.7","ug/m3 LC","61","1","100.0000","88101","PM2.5 - Local Conditions","23420","Fresno, CA","06","California","019","Fresno","36.7853217602452","-119.774173890206"
"01/25/2016","060190011","1","17.1","ug/m3 LC","62","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","23420","Fresno, CA","06","California","019","Fresno","36.7853217602452","-119.774173890206"
"01/26/2016","060190011","1","12.7","ug/m3 LC","52","1","100.0000","88101","PM2.5 - Local Conditions","23420","Fresno, CA","06","California","019","Fresno","36.7853217602452","-119.774173890206"
"01/27/2016","060190011","1","17.5","ug/m3 LC","62","1","100.0000","88101","PM2.5 - Local Conditions","23420","Fresno, CA","06","California","019","Fresno","36.7853217602452","-119.774173890206"
"01/28/2016","060190011","1","28.4","ug/m3 LC","85","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","23420","Fresno, CA","06","California","019","Fresno","36.7853217602452","-119.774173890206"
"01/28/2016","060190011","1","30.4","ug/m3 LC","89","1","100.0000","88101","PM2.5 - Local Conditions","23420","Fresno, CA","06","California","019","Fresno","36.7853217602452","-119.774173890206"
"01/29/2016","060190011","1","36.1","ug/m3 LC","102","1","100.0000","88101","PM2.5 - Local Conditions","23420","Fresno, CA","06","California","019","Fresno","36.7853217602452","-119.774173890206"
"01/30/2016","060190011","1","15.3","ug/m3 LC","58","1","100.0000","88101","PM2.5 - Local Conditions","23420","Fresno, CA","06","California","019","Fresno","36.7853217602452","-119.774173890206"
"01/31/2016","060190011","1","3.2","ug/m3 LC","13","1","100.0000","88101","PM2.5 - Local Conditions","23420","Fresno, CA","06","California","019","Fresno","36.7853217602452","-119.774173890206"
"01/31/2016","060190011","1","3","ug/m3 LC","13","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","23420","Fresno, CA","06","California","019","Fresno","36.7853217602452","-119.774173890206"
"02/01/2016","060190011","1","5.3","ug/m3 LC","22","1","100.0000","88101","PM2.5 - Local Conditions","23420","Fresno, CA","06","California","019","Fresno","36.7853217602452","-119.774173890206"
"02/02/2016","060190011","1","16","ug/m3 LC","59","1","100.0000","88101","PM2.5 - Local Conditions","23420","Fresno, CA","06","California","019","Fresno","36.7853217602452","-119.774173890206"
"02/03/2016","060190011","1","22.6","ug/m3 LC","73","1","100.0000","88101","PM2.5 - Local Conditions","23420","Fresno, CA","06","California","019","Fresno","36.7853217602452","-119.774173890206"
"02/03/2016","060190011","1","22.1","ug/m3 LC","72","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","23420","Fresno, CA","06","California","019","Fresno","36.7853217602452","-119.774173890206"
"02/04/2016","060190011","1","21.2","ug/m3 LC","70","1","100.0000","88101","PM2.5 - Local Conditions","23420","Fresno, CA","06","California","019","Fresno","36.7853217602452","-119.774173890206"
"02/05/2016","060190011","1","22.5","ug/m3 LC","73","1","100.0000","88101","PM2.5 - Local Conditions","23420","Fresno, CA","06","California","019","Fresno","36.7853217602452","-119.774173890206"
"02/06/2016","060190011","1","25.9","ug/m3 LC","80","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","23420","Fresno, CA","06","California","019","Fresno","36.7853217602452","-119.774173890206"
"02/06/2016","060190011","1","25.6","ug/m3 LC","79","1","100.0000","88101","PM2.5 - Local Conditions","23420","Fresno, CA","06","California","019","Fresno","36.7853217602452","-119.774173890206"
"02/07/2016","060190011","1","32.8","ug/m3 LC","95","1","100.0000","88101","PM2.5 - Local Conditions","23420","Fresno, CA","06","California","019","Fresno","36.7853217602452","-119.774173890206"
"02/08/2016","060190011","1","21.9","ug/m3 LC","72","1","100.0000","88101","PM2.5 - Local Conditions","23420","Fresno, CA","06","California","019","Fresno","36.7853217602452","-119.774173890206"
"02/09/2016","060190011","1","13.2","ug/m3 LC","53","1","100.0000","88101","PM2.5 - Local Conditions","23420","Fresno, CA","06","California","019","Fresno","36.7853217602452","-119.774173890206"
"02/09/2016","060190011","1","12.4","ug/m3 LC","52","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","23420","Fresno, CA","06","California","019","Fresno","36.7853217602452","-119.774173890206"
"02/10/2016","060190011","1","18.8","ug/m3 LC","65","1","100.0000","88101","PM2.5 - Local Conditions","23420","Fresno, CA","06","California","019","Fresno","36.7853217602452","-119.774173890206"
"02/11/2016","060190011","1","26.1","ug/m3 LC","80","1","100.0000","88101","PM2.5 - Local Conditions","23420","Fresno, CA","06","California","019","Fresno","36.7853217602452","-119.774173890206"
"02/12/2016","060190011","1","25.3","ug/m3 LC","79","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","23420","Fresno, CA","06","California","019","Fresno","36.7853217602452","-119.774173890206"
"02/12/2016","060190011","1","23.5","ug/m3 LC","75","1","100.0000","88101","PM2.5 - Local Conditions","23420","Fresno, CA","06","California","019","Fresno","36.7853217602452","-119.774173890206"
"02/13/2016","060190011","1","40.2","ug/m3 LC","113","1","100.0000","88101","PM2.5 - Local Conditions","23420","Fresno, CA","06","California","019","Fresno","36.7853217602452","-119.774173890206"
"02/14/2016","060190011","1","42","ug/m3 LC","117","1","100.0000","88101","PM2.5 - Local Conditions","23420","Fresno, CA","06","California","019","Fresno","36.7853217602452","-119.774173890206"
"02/15/2016","060190011","1","37.3","ug/m3 LC","105","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","23420","Fresno, CA","06","California","019","Fresno","36.7853217602452","-119.774173890206"
"02/15/2016","060190011","1","34.6","ug/m3 LC","98","1","100.0000","88101","PM2.5 - Local Conditions","23420","Fresno, CA","06","California","019","Fresno","36.7853217602452","-119.774173890206"
"02/16/2016","060190011","1","33.2","ug/m3 LC","95","1","100.0000","88101","PM2.5 - Local Conditions","23420","Fresno, CA","06","California","019","Fresno","36.7853217602452","-119.774173890206"
"02/17/2016","060190011","1","8.7","ug/m3 LC","36","1","100.0000","88101","PM2.5 - Local Conditions","23420","Fresno, CA","06","California","019","Fresno","36.7853217602452","-119.774173890206"
"02/18/2016","060190011","1","4.2","ug/m3 LC","18","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","23420","Fresno, CA","06","California","019","Fresno","36.7853217602452","-119.774173890206"
"02/18/2016","060190011","1","3.9","ug/m3 LC","16","1","100.0000","88101","PM2.5 - Local Conditions","23420","Fresno, CA","06","California","019","Fresno","36.7853217602452","-119.774173890206"
"02/19/2016","060190011","1","8","ug/m3 LC","33","1","100.0000","88101","PM2.5 - Local Conditions","23420","Fresno, CA","06","California","019","Fresno","36.7853217602452","-119.774173890206"
"02/20/2016","060190011","1","10.5","ug/m3 LC","44","1","100.0000","88101","PM2.5 - Local Conditions","23420","Fresno, CA","06","California","019","Fresno","36.7853217602452","-119.774173890206"
"02/21/2016","060190011","1","12.3","ug/m3 LC","51","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","23420","Fresno, CA","06","California","019","Fresno","36.7853217602452","-119.774173890206"
"02/21/2016","060190011","1","12.2","ug/m3 LC","51","1","100.0000","88101","PM2.5 - Local Conditions","23420","Fresno, CA","06","California","019","Fresno","36.7853217602452","-119.774173890206"
"02/22/2016","060190011","1","12.2","ug/m3 LC","51","1","100.0000","88101","PM2.5 - Local Conditions","23420","Fresno, CA","06","California","019","Fresno","36.7853217602452","-119.774173890206"
