"Date","AQS_SITE_ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2017","060610003","1","7.5","ug/m3 LC","31","1","100.0000","88101","PM2.5 - Local Conditions","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","061","Placer","38.935577909","-121.100647797"
"01/02/2017","060610003","1","3.1","ug/m3 LC","13","1","100.0000","88101","PM2.5 - Local Conditions","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","061","Placer","38.935577909","-121.100647797"
"01/03/2017","060610003","1","1.7","ug/m3 LC","7","1","100.0000","88101","PM2.5 - Local Conditions","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","061","Placer","38.935577909","-121.100647797"
"01/04/2017","060610003","1","0.4","ug/m3 LC","2","1","100.0000","88101","PM2.5 - Local Conditions","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","061","Placer","38.935577909","-121.100647797"
"01/05/2017","060610003","1","4.5","ug/m3 LC","19","1","100.0000","88101","PM2.5 - Local Conditions","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","061","Placer","38.935577909","-121.100647797"
"01/06/2017","060610003","1","6.5","ug/m3 LC","27","1","100.0000","88101","PM2.5 - Local Conditions","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","061","Placer","38.935577909","-121.100647797"
"01/07/2017","060610003","1","2.5","ug/m3 LC","10","1","100.0000","88101","PM2.5 - Local Conditions","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","061","Placer","38.935577909","-121.100647797"
"01/08/2017","060610003","1","-1.4","ug/m3 LC","0","1","100.0000","88101","PM2.5 - Local Conditions","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","061","Placer","38.935577909","-121.100647797"
"01/09/2017","060610003","1","-0.5","ug/m3 LC","0","1","100.0000","88101","PM2.5 - Local Conditions","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","061","Placer","38.935577909","-121.100647797"
"01/10/2017","060610003","1","-1.2","ug/m3 LC","0","1","100.0000","88101","PM2.5 - Local Conditions","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","061","Placer","38.935577909","-121.100647797"
"01/11/2017","060610003","1","1.1","ug/m3 LC","5","1","100.0000","88101","PM2.5 - Local Conditions","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","061","Placer","38.935577909","-121.100647797"
"01/12/2017","060610003","1","4.2","ug/m3 LC","18","1","100.0000","88101","PM2.5 - Local Conditions","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","061","Placer","38.935577909","-121.100647797"
"01/13/2017","060610003","1","4.4","ug/m3 LC","18","1","100.0000","88101","PM2.5 - Local Conditions","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","061","Placer","38.935577909","-121.100647797"
"01/14/2017","060610003","1","8.4","ug/m3 LC","35","1","100.0000","88101","PM2.5 - Local Conditions","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","061","Placer","38.935577909","-121.100647797"
"01/15/2017","060610003","1","9.1","ug/m3 LC","38","1","100.0000","88101","PM2.5 - Local Conditions","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","061","Placer","38.935577909","-121.100647797"
"01/16/2017","060610003","1","14.8","ug/m3 LC","57","1","100.0000","88101","PM2.5 - Local Conditions","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","061","Placer","38.935577909","-121.100647797"
"01/17/2017","060610003","1","15","ug/m3 LC","57","1","100.0000","88101","PM2.5 - Local Conditions","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","061","Placer","38.935577909","-121.100647797"
"01/18/2017","060610003","1","4.8","ug/m3 LC","20","1","100.0000","88101","PM2.5 - Local Conditions","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","061","Placer","38.935577909","-121.100647797"
"01/19/2017","060610003","1","1.5","ug/m3 LC","6","1","100.0000","88101","PM2.5 - Local Conditions","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","061","Placer","38.935577909","-121.100647797"
"01/20/2017","060610003","1","0.5","ug/m3 LC","2","1","100.0000","88101","PM2.5 - Local Conditions","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","061","Placer","38.935577909","-121.100647797"
"01/21/2017","060610003","1","1.8","ug/m3 LC","8","1","100.0000","88101","PM2.5 - Local Conditions","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","061","Placer","38.935577909","-121.100647797"
"01/22/2017","060610003","1","2.3","ug/m3 LC","10","1","100.0000","88101","PM2.5 - Local Conditions","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","061","Placer","38.935577909","-121.100647797"
"01/23/2017","060610003","1","1.7","ug/m3 LC","7","1","100.0000","88101","PM2.5 - Local Conditions","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","061","Placer","38.935577909","-121.100647797"
"01/24/2017","060610003","1","3.6","ug/m3 LC","15","1","100.0000","88101","PM2.5 - Local Conditions","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","061","Placer","38.935577909","-121.100647797"
"01/25/2017","060610003","1","4.2","ug/m3 LC","18","1","100.0000","88101","PM2.5 - Local Conditions","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","061","Placer","38.935577909","-121.100647797"
"01/26/2017","060610003","1","2.9","ug/m3 LC","12","1","100.0000","88101","PM2.5 - Local Conditions","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","061","Placer","38.935577909","-121.100647797"
"01/27/2017","060610003","1","5.3","ug/m3 LC","22","1","100.0000","88101","PM2.5 - Local Conditions","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","061","Placer","38.935577909","-121.100647797"
"01/28/2017","060610003","1","6.6","ug/m3 LC","28","1","100.0000","88101","PM2.5 - Local Conditions","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","061","Placer","38.935577909","-121.100647797"
"01/29/2017","060610003","1","3.2","ug/m3 LC","13","1","100.0000","88101","PM2.5 - Local Conditions","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","061","Placer","38.935577909","-121.100647797"
